,Episode,Best score so far,Eval score,"Eval, g: 0.0: mean_agg","Eval, g: 0.0: std_agg","Eval, g: 0.0: mean_C0","Eval, g: 0.0: mean_C1","Eval, g: 0.0: std_C0","Eval, g: 0.0: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,82.14754472099263,82.14754472099263,82.14754472099263,82.14754472099263,53395.90406864521,76.8244237628,6326.380573527575,11.412988667233364,0.776383101940155,1.399547815322876,49207.61702396642,88.0470558107,75.70402619071756
1,100,59.654904478440905,59.654904478440905,59.654904478440905,59.654904478440905,38775.687910986584,97.15524635413337,10257.12859269464,37.717699415410266,0.2701430320739746,1.5434054136276245,48314.773711612186,74.00328537742001,74.33042109478798
2,150,59.654904478440905,64.36564565069385,64.36564565069385,64.36564565069385,41837.669672951,101.80140851463335,10100.405776266753,34.3640414564115,0.3101312518119812,1.474105715751648,40615.605122111236,99.7552721508,62.485546341709586
3,200,5.793251842870979,5.793251842870979,5.793251842870979,5.793251842870979,3765.6136978661384,118.61278734199999,4641.456066629003,5.9453630639718575,4.754238605499268,1.0934679508209229,35987.0061408125,97.1401491389,55.36462483201921
4,250,3.8231396443555274,3.8231396443555274,3.8231396443555274,3.8231396443555274,2485.0407688310925,155.5582312802,4183.609932964255,0.09489046812734822,2.3317794799804688,1.2464274168014526,14418.902608592021,102.38641767661998,22.182927090141575
5,300,3.8231396443555274,3.840046463345049,3.840046463345049,3.840046463345049,2496.030201174282,117.98370733659998,3576.9235377383125,2.8763823642079904,1.8692400455474854,1.3584802150726318,9303.357472576368,106.78533349624,14.312857650117486
6,350,3.8231396443555274,22.386896308414364,22.386896308414364,22.386896308414364,14551.48260046934,79.36821199976667,12009.153625683686,4.8163534664496375,1.3193212747573853,1.280705213546753,12661.262485989146,100.11601498597999,19.478865363060223
7,400,3.8231396443555274,4.834615787069767,4.834615787069767,4.834615787069767,3142.5002615953476,131.1545270702333,3444.2922901978036,1.0865635475985764,6.223175525665283,2.8284902572631836,9583.18579626099,101.60067376410001,14.743362763478444
8,450,3.8231396443555274,8.209843921632823,8.209843921632823,8.209843921632823,5336.398549061335,155.61942817119998,7607.153741401211,0.16617863833584628,4.34621000289917,2.8808400630950928,11130.069633118545,105.09811831372,17.123184050951608
9,500,3.683243711914706,3.683243711914706,3.683243711914706,3.683243711914706,2394.108412744559,155.55581856429998,2397.782637586229,0.05278945958274592,2.317086696624756,3.0617425441741943,6893.343090253842,104.11643510884001,10.60514321577514
10,550,3.683243711914706,7.103884777331254,7.103884777331254,7.103884777331254,4617.525105265316,82.45952319966668,8283.041385951221,3.5047164959798125,3.271087646484375,3.0469956398010254,8949.941761925003,105.41489161336001,13.769141172192313
11,600,3.140359942080391,3.140359942080391,3.140359942080391,3.140359942080391,2041.2339623522541,88.27089133893334,1943.1688035402808,1.8077199231689474,7.991541862487793,2.8940587043762207,11526.316135197845,107.49386466769998,17.732794054150542
12,650,3.140359942080391,3.8383039541712884,3.8383039541712884,3.8383039541712884,2494.897570211338,99.34289466919999,2550.5297118802782,4.179262020429271,6.803903579711914,2.9851253032684326,7947.9778235206195,102.51659487650002,12.227658190031724
13,700,3.140359942080391,7.231976072636572,7.231976072636572,7.231976072636572,4700.784447213774,80.93085465896667,4811.820201494496,1.4476853953833062,7.985741138458252,2.9322400093078613,12972.258446197033,103.16246230303999,19.95732068645698
14,750,3.140359942080391,3.825340310552667,3.825340310552667,3.825340310552667,2486.471201859234,127.25226869810004,2455.8222330230205,1.9025012276906765,4.293155670166016,2.9342777729034424,8550.808172938858,105.47073318123995,13.155089496829016
15,800,3.140359942080391,4.643906512777509,4.643906512777509,4.643906512777509,3018.5392333053815,155.57056055776667,4417.18031654486,0.1003680079772973,9.052873611450195,2.5041744709014893,6627.5123560821285,102.67604948692004,10.19617285551097
16,850,3.140359942080391,3.7530995456702745,3.7530995456702745,3.7530995456702745,2439.514704685678,155.55625661893333,4404.043566264849,0.09396222120368773,11.794976234436035,2.716970920562744,9022.055077351393,104.94645519427996,13.880084734386756
17,900,3.140359942080391,5.57053147187323,5.57053147187323,5.57053147187323,3620.8454567175995,82.02677930906664,5455.467815990424,2.8695181968448837,12.751555442810059,2.793320655822754,9956.587968690012,104.95326632336,15.317827644138477
18,950,3.140359942080391,4.66169240841567,4.66169240841567,4.66169240841567,3030.100065470185,80.91484900799999,4805.768810405276,0.9958868983504793,7.292470455169678,2.7343509197235107,6294.618585808599,99.07572715124,9.68402859355169
19,1000,3.140359942080391,4.366024916041651,4.366024916041651,4.366024916041651,2837.9161954270717,83.11092404930001,3538.952708741332,1.1908602962082757,7.322831153869629,3.2582204341888428,11592.159726608104,104.41301345062,17.834091887089386
20,1050,3.140359942080391,4.564951203344491,4.564951203344491,4.564951203344491,2967.2182821739193,84.01335189916666,4418.296707457807,4.156862557008575,10.487606048583984,2.9985437393188477,6398.987616019016,104.51246945439998,9.844596332336943
21,1100,3.140359942080391,6.528166072748687,6.528166072748687,6.528166072748687,4243.307947286646,142.83639258910003,5074.418016604622,7.295823485646867,7.5368828773498535,3.211967706680298,9941.907449073615,110.28134209316002,15.29524222934402
22,1150,3.140359942080391,5.77632222121437,5.77632222121437,5.77632222121437,3754.60944378934,142.02744202103335,7142.945086290084,6.219646673437353,12.737537384033203,2.9306864738464355,7950.471586043515,105.56640664807999,12.231494747759251
